Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
S3_DC2_Over,M100,Bool,100,ReadAndWrite,1,0,
S3_DC3_Over,M100,Bool,100,ReadAndWrite,1,0,
Door1_PressureHigh,M1001.2,Bool,100,ReadAndWrite,1,0,
Door1_PressureLow,M1001.2,Bool,100,ReadAndWrite,1,0,
Door2_PressureHigh,M1001.1,Bool,100,ReadAndWrite,1,0,
Door2_PressureLow,M1001.2,Bool,100,ReadAndWrite,1,0,
Door3_PressureHigh,M1003.7,Bool,100,ReadAndWrite,1,0,
Door3_PressureLow,M1004.0,Bool,100,ReadAndWrite,1,0,
Door4_PressureHigh,M1004.1,Bool,100,ReadAndWrite,1,0,
Door4_PressureLow,M1004.2,Bool,100,ReadAndWrite,1,0,
Door5_PressureHigh,M1001.2,Bool,100,ReadAndWrite,1,0,
Door5_PressureLow,M1001.2,Bool,100,ReadAndWrite,1,0,
Door6_PressureHigh,M1001.2,Bool,100,ReadAndWrite,1,0,
Door6_PressureLow,M1001.3,Bool,100,ReadAndWrite,1,0,
HT_Cylinder1_1,MW1000,Bool,100,ReadAndWrite,1,0,
HT_Cylinder1_2,MW1000,Bool,100,ReadAndWrite,1,0,
HT_Cylinder2_1,MW1000,Bool,100,ReadAndWrite,1,0,
HT_Cylinder2_2,MW1000,Bool,100,ReadAndWrite,1,0,
HT_Cylinder3_1,MW1006,Int,100,ReadAndWrite,1,0,
HT_Cylinder3_2,MW1008,Int,100,ReadAndWrite,1,0,
HT_Cylinder4_1,MW1010,Int,100,ReadAndWrite,1,0,
HT_Cylinder4_2,MW1012,Int,100,ReadAndWrite,1,0,
HT_Cylinder5_1,MW1000,Int,100,ReadAndWrite,1,0,
HT_Cylinder5_2,MW1000,Int,100,ReadAndWrite,1,0,
HT_Cylinder6_1,MW1000,Int,100,ReadAndWrite,1,0,
HT_Cylinder6_2,MW1000,Int,100,ReadAndWrite,1,0,
Door1_Aperture,MW1000,Int,100,ReadAndWrite,1,0,
Door2_Aperture,MW1000,Int,100,ReadAndWrite,1,0,
Door3_Aperture,MW1014,Int,100,ReadAndWrite,1,0,
Door4_Aperture,MW1016,Int,100,ReadAndWrite,1,0,
Door5_Aperture,MW1000,Int,100,ReadAndWrite,1,0,
Door6_Aperture,MW1000,Int,100,ReadAndWrite,1,0,
S1_Temp_Oil,MW1018,Int,100,ReadAndWrite,1,0,
S2_Temp_Oil,MW100,Int,100,ReadAndWrite,1,0,
S3_Temp_Oil,MW100,Int,100,ReadAndWrite,1,0,
S1_Run_Pump1,M1020.0,Bool,100,ReadAndWrite,1,0,
S1_Run_Pump2,M1020.1,Bool,100,ReadAndWrite,1,0,
S1_Run_Pump3,M1020.2,Bool,100,ReadAndWrite,1,0,
S2_Run_Pump1,M100,Bool,100,ReadAndWrite,1,0,
S2_Run_Pump2,M100,Bool,100,ReadAndWrite,1,0,
S2_Run_Pump3,M100,Bool,100,ReadAndWrite,1,0,
S3_Run_Pump1,M100,Bool,100,ReadAndWrite,1,0,
S3_Run_Pump2,M100,Bool,100,ReadAndWrite,1,0,
S3_Run_Pump3,M100,Bool,100,ReadAndWrite,1,0,
Open_Door1,M1000,Bool,100,ReadAndWrite,1,0,
Close_Door1,M1000,Bool,100,ReadAndWrite,1,0,
